#A  P  sigma   slow   shigh   mu  
0.032 346.241 0.4330 0.1061 0.6465 59.9255
0.100 75.419 0.0854 0.0001 0.3754 60.0394
0.316 13.731 0.0471 0.0000 0.2974 59.9460
1.000 1.841 0.0487 0.0001 0.2735 59.9956
3.162 0.166 0.2729 0.0011 0.4945 59.8485
10.000 0.011 0.0674 0.0001 0.4621 59.8751
31.623 0.001 0.1308 0.0000 0.8669 59.6194
0.010 1439.601 0.6173 0.2518 0.8243 60.0189
0.032 346.241 0.0402 0.0002 0.2929 60.0278
0.100 75.419 0.3700 0.0387 0.5360 60.0541
0.316 13.731 0.1103 0.0004 0.3667 59.8531
1.000 1.841 0.0793 0.0007 0.4005 59.9154
3.162 0.166 0.0756 0.0002 0.3158 60.0512
10.000 0.011 0.1024 0.0000 0.5197 60.3930
31.623 0.001 0.4202 0.0000 1.5901 60.9156
0.010 1439.601 0.0454 0.0001 0.2780 59.9549
0.032 346.241 0.0685 0.0002 0.3781 59.9887
0.100 75.419 0.0803 0.0000 0.2455 59.9799
0.316 13.731 0.6382 0.3120 0.8620 60.1175
1.000 1.841 0.0456 0.0002 0.2821 59.8981
3.162 0.166 0.1936 0.0001 0.4709 59.7302
10.000 0.011 0.0673 0.0002 0.4770 59.9455
31.623 0.001 0.2149 0.0003 1.3762 59.8078
0.010 1439.601 0.0644 0.0002 0.3556 60.0050
0.032 346.241 0.0429 0.0011 0.3083 60.0067
0.100 75.419 0.7236 0.3554 0.9206 60.1105
0.316 13.731 0.1453 0.0002 0.4124 60.0330
1.000 1.841 0.8297 0.5547 1.0287 59.8724
3.162 0.166 0.0896 0.0004 0.4809 60.0548
10.000 0.011 0.0787 0.0000 0.5906 59.9245
31.623 0.001 1.1372 0.1193 1.7220 59.5089
0.010 1439.601 0.0458 0.0000 0.2861 60.1028
0.032 346.241 0.0471 0.0003 0.3273 59.9688
0.100 75.419 0.7668 0.4734 0.9632 60.1164
0.316 13.731 0.5288 0.1599 0.7131 60.0071
1.000 1.841 0.0496 0.0000 0.3733 59.9972
3.162 0.166 0.2232 0.0092 0.5142 59.8553
10.000 0.011 0.0539 0.0000 0.3899 60.0251
31.623 0.001 0.4191 0.0011 1.2974 60.2460
0.010 1439.601 0.0766 0.0000 0.4044 60.0888
0.032 346.241 0.4824 0.1315 0.6820 60.0457
0.100 75.419 0.0563 0.0001 0.3224 60.0379
0.316 13.731 0.0732 0.0001 0.3569 60.0885
1.000 1.841 0.0378 0.0000 0.2320 59.9637
3.162 0.166 0.5430 0.1739 0.7857 60.0475
10.000 0.011 0.1767 0.0004 0.5640 60.1135
31.623 0.001 0.1748 0.0001 1.2172 59.5973
0.010 1439.601 0.3805 0.0490 0.5427 59.9934
0.032 346.241 0.6609 0.2982 0.8731 59.8344
0.100 75.419 0.7025 0.3853 0.9210 59.9277
0.316 13.731 0.1244 0.0004 0.3987 59.8790
1.000 1.841 0.0666 0.0001 0.3246 60.0696
3.162 0.166 0.0766 0.0001 0.4713 59.8300
10.000 0.011 0.0804 0.0000 0.5018 60.3879
31.623 0.001 0.1886 0.0000 1.0962 60.4626
0.010 1439.601 0.3112 0.0303 0.5275 59.9778
0.032 346.241 0.0510 0.0001 0.3841 60.0699
0.100 75.419 0.0454 0.0001 0.3048 60.0611
0.316 13.731 0.2197 0.0153 0.4799 59.9261
1.000 1.841 0.5357 0.1754 0.7384 59.9804
3.162 0.166 0.6861 0.3312 0.9542 59.9045
10.000 0.011 0.5094 0.0919 0.9053 59.9722
31.623 0.001 0.1530 0.0001 1.0480 60.7242
0.010 1439.601 0.4113 0.1048 0.6184 60.0409
0.032 346.241 0.0766 0.0003 0.4259 60.0322
0.100 75.419 0.2369 0.0014 0.4109 59.9665
0.316 13.731 0.4292 0.1043 0.6415 60.1314
1.000 1.841 0.0860 0.0003 0.3661 60.0493
3.162 0.166 0.3766 0.1234 0.6843 59.9622
10.000 0.011 0.6263 0.1378 0.9863 60.1871
31.623 0.001 2.8164 1.6842 3.7152 58.9725
0.010 1439.601 0.0573 0.0001 0.3188 60.0540
