#A  P  sigma   slow   shigh   mu  
10.000 0.011 0.0770 0.0000 0.3912 59.9470
31.623 0.001 0.2428 0.0001 1.0501 60.0677
0.010 1439.601 0.5870 0.2578 0.8198 59.9343
0.032 346.241 0.0593 0.0000 0.3185 60.0907
0.100 75.419 0.0538 0.0002 0.4200 59.9415
0.316 13.731 0.2745 0.0014 0.4630 60.0485
1.000 1.841 0.7337 0.3982 0.9583 60.0715
3.162 0.166 0.8638 0.5120 1.0853 59.9990
10.000 0.011 0.9885 0.4306 1.3513 60.0511
31.623 0.001 1.0079 0.0005 1.7307 60.1500
0.010 1439.601 0.1383 0.0003 0.4528 60.0735
0.032 346.241 0.0423 0.0001 0.3097 59.9871
0.100 75.419 0.0709 0.0002 0.2668 59.8906
0.316 13.731 0.2184 0.0003 0.4657 59.8950
1.000 1.841 0.4014 0.0829 0.5949 60.0105
3.162 0.166 0.0491 0.0000 0.3111 60.0440
10.000 0.011 0.1070 0.0004 0.6619 59.8243
31.623 0.001 0.1861 0.0001 1.1565 59.2686
0.010 1439.601 0.1765 0.0002 0.4237 60.0218
0.032 346.241 0.4410 0.1256 0.6480 59.9392
0.100 75.419 0.0479 0.0001 0.3001 60.0619
0.316 13.731 0.0822 0.0001 0.3296 60.1101
1.000 1.841 0.4121 0.0843 0.6055 60.1606
3.162 0.166 0.4518 0.1510 0.7436 59.8804
10.000 0.011 0.6214 0.0829 0.8753 60.2266
31.623 0.001 0.2294 0.0004 1.1541 59.9023
0.010 1439.601 0.0523 0.0005 0.3160 60.1710
0.032 346.241 0.0372 0.0000 0.2661 60.0845
0.100 75.419 0.5198 0.1761 0.7378 60.0246
0.316 13.731 0.6174 0.2685 0.8344 59.9345
1.000 1.841 0.0660 0.0002 0.4529 59.7883
3.162 0.166 0.4440 0.1146 0.7005 59.9908
10.000 0.011 0.1018 0.0001 0.5026 59.9820
31.623 0.001 0.1084 0.0000 0.7932 60.3275
0.010 1439.601 0.3306 0.0192 0.5112 60.1864
0.032 346.241 0.5719 0.2217 0.7847 60.0519
0.100 75.419 0.0741 0.0001 0.3400 60.1884
0.316 13.731 0.1396 0.0045 0.4704 60.0708
1.000 1.841 0.6367 0.2782 0.8469 59.8406
3.162 0.166 0.0493 0.0000 0.3873 59.9598
10.000 0.011 0.5435 0.0857 0.8665 59.6022
31.623 0.001 0.1721 0.0001 1.1065 60.0964
0.010 1439.601 0.5451 0.2240 0.7971 60.0971
0.032 346.241 0.2848 0.0473 0.5417 59.9860
0.100 75.419 0.0709 0.0008 0.3399 60.0110
0.316 13.731 0.0543 0.0000 0.3570 60.0781
1.000 1.841 0.0521 0.0003 0.3753 60.1140
3.162 0.166 0.4381 0.1116 0.6754 59.9469
10.000 0.011 0.0860 0.0007 0.6236 60.1174
31.623 0.001 0.1984 0.0004 1.1587 60.4279
0.010 1439.601 0.0576 0.0000 0.3256 60.0253
0.032 346.241 0.6750 0.3749 0.9259 59.9638
0.100 75.419 0.0716 0.0000 0.2957 59.9830
0.316 13.731 0.0538 0.0001 0.3191 60.0435
1.000 1.841 0.0694 0.0002 0.2552 59.8822
3.162 0.166 0.1246 0.0049 0.5392 59.9355
10.000 0.011 0.7112 0.1457 0.9360 59.8328
31.623 0.001 0.8074 0.0017 1.4834 60.6605
0.010 1439.601 0.6845 0.4163 0.9388 60.1162
0.032 346.241 0.3590 0.0394 0.5330 59.8450
0.100 75.419 0.5799 0.3345 0.8739 60.0599
0.316 13.731 0.0506 0.0000 0.3772 60.0342
1.000 1.841 0.4118 0.0072 0.5133 60.0075
3.162 0.166 0.0498 0.0001 0.4146 60.0373
10.000 0.011 0.4200 0.0011 0.7651 60.2734
31.623 0.001 0.1545 0.0002 0.9796 61.1815
0.010 1439.601 0.4197 0.0422 0.5443 59.8522
0.032 346.241 0.0739 0.0002 0.3606 59.9941
0.100 75.419 0.1123 0.0015 0.4165 59.7995
0.316 13.731 0.0580 0.0000 0.3104 60.0822
1.000 1.841 0.3037 0.0278 0.5292 60.0068
3.162 0.166 0.1370 0.0000 0.4581 59.8257
10.000 0.011 0.0689 0.0000 0.4692 60.0977
31.623 0.001 2.4963 1.7055 3.5096 60.1859
0.010 1439.601 0.1441 0.0005 0.4194 59.9808
0.032 346.241 0.0481 0.0000 0.2938 59.9426
0.100 75.419 0.2169 0.0003 0.4141 59.8087
0.316 13.731 0.6123 0.2453 0.8009 60.0843
1.000 1.841 0.2908 0.0023 0.4750 60.0867
3.162 0.166 0.0662 0.0001 0.3828 59.8937
10.000 0.011 1.0814 0.5573 1.4957 59.8584
31.623 0.001 0.4937 0.0001 1.3031 59.8116
0.010 1439.601 0.0753 0.0000 0.3433 59.9458
0.032 346.241 0.0940 0.0007 0.4263 59.8991
0.100 75.419 0.3015 0.0564 0.5494 59.9281
0.316 13.731 0.2089 0.0035 0.4996 60.1507
1.000 1.841 0.0336 0.0000 0.2786 59.8557
3.162 0.166 0.0590 0.0000 0.3866 59.9980
10.000 0.011 0.6239 0.0497 0.8479 60.0439
31.623 0.001 0.2354 0.0000 0.9969 60.2922
0.010 1439.601 0.1140 0.0016 0.4463 60.1318
0.032 346.241 0.1549 0.0057 0.4534 60.1213
0.100 75.419 0.4379 0.0889 0.6149 60.0047
0.316 13.731 0.0541 0.0000 0.3822 60.0555
1.000 1.841 0.0805 0.0003 0.4417 59.8486
3.162 0.166 0.5299 0.0914 0.6610 60.1162
10.000 0.011 0.0647 0.0001 0.5361 59.6928
31.623 0.001 0.3365 0.0006 1.1855 59.7774
0.010 1439.601 0.0557 0.0003 0.3410 60.0202
0.032 346.241 0.4626 0.1539 0.6851 59.7838
0.100 75.419 0.4872 0.1217 0.6620 59.9617
0.316 13.731 0.4561 0.0936 0.6151 60.0314
1.000 1.841 0.1580 0.0003 0.4409 59.9349
3.162 0.166 0.0649 0.0000 0.4410 60.0148
10.000 0.011 0.0969 0.0000 0.5989 59.9755
31.623 0.001 0.1238 0.0010 0.7937 59.9338
0.010 1439.601 0.4419 0.0672 0.6126 60.0302
0.032 346.241 0.8957 0.6808 1.1028 60.0305
0.100 75.419 0.1293 0.0007 0.4264 59.9653
0.316 13.731 0.5526 0.2329 0.7873 59.9942
1.000 1.841 0.1228 0.0000 0.3293 59.9611
3.162 0.166 0.2334 0.0002 0.4853 59.9743
10.000 0.011 0.2192 0.0004 0.6435 60.1809
31.623 0.001 0.1530 0.0001 1.0730 60.5134
0.010 1439.601 0.0573 0.0002 0.2985 59.9635
0.032 346.241 0.7699 0.4408 0.9894 60.1353
0.100 75.419 0.0658 0.0002 0.4256 59.9825
0.316 13.731 0.0504 0.0000 0.3514 60.0822
1.000 1.841 0.5305 0.1768 0.7255 60.0968
3.162 0.166 0.3311 0.0000 0.5334 59.9847
10.000 0.011 0.1048 0.0001 0.4879 59.9843
31.623 0.001 0.3356 0.0001 1.6210 60.0919
0.010 1439.601 0.4324 0.0581 0.5790 59.9530
0.032 346.241 0.0466 0.0001 0.3135 60.0633
0.100 75.419 0.5427 0.2002 0.7690 60.0037
0.316 13.731 0.0352 0.0000 0.2792 60.1047
1.000 1.841 0.0518 0.0000 0.3143 60.0121
3.162 0.166 0.0585 0.0000 0.3869 59.8806
10.000 0.011 0.7165 0.2207 1.1089 59.9862
31.623 0.001 1.1151 0.0000 1.6700 59.9842
0.010 1439.601 0.0517 0.0002 0.3900 59.9889
0.032 346.241 0.0487 0.0001 0.2718 60.0681
0.100 75.419 0.4308 0.1828 0.7266 60.0609
0.316 13.731 0.1805 0.0018 0.4422 60.0005
1.000 1.841 0.0400 0.0000 0.3191 59.9932
3.162 0.166 0.6372 0.3095 0.9282 59.7293
10.000 0.011 0.5002 0.0438 0.8036 60.1015
31.623 0.001 0.1206 0.0005 0.7862 60.2359
0.010 1439.601 0.5360 0.1650 0.7179 60.0976
0.032 346.241 0.2343 0.0028 0.4628 60.0326
0.100 75.419 0.4267 0.0534 0.5865 59.8639
0.316 13.731 0.4417 0.1321 0.6619 60.0633
1.000 1.841 0.2215 0.0025 0.5012 60.1505
3.162 0.166 0.2211 0.0140 0.5088 59.8853
10.000 0.011 0.4479 0.0001 0.7497 60.2264
31.623 0.001 0.1332 0.0012 1.0402 59.8031
0.010 1439.601 0.3041 0.0155 0.5058 59.9317
0.032 346.241 0.0913 0.0000 0.3721 60.0350
0.100 75.419 0.0812 0.0001 0.4059 59.8989
0.316 13.731 0.1214 0.0007 0.3879 60.0344
1.000 1.841 0.5777 0.2895 0.8540 60.2226
3.162 0.166 0.0599 0.0000 0.3293 59.9178
10.000 0.011 0.1589 0.0001 0.5382 60.0322
31.623 0.001 0.2100 0.0003 1.0516 60.4098
0.010 1439.601 0.4355 0.1303 0.6746 59.9197
0.032 346.241 0.6910 0.3284 0.8820 60.0425
0.100 75.419 0.0860 0.0001 0.3097 59.9789
0.316 13.731 0.1588 0.0001 0.4166 59.8748
1.000 1.841 0.0477 0.0001 0.3210 59.8961
3.162 0.166 0.5001 0.1397 0.7294 60.0148
10.000 0.011 0.2248 0.0003 0.6627 60.6412
31.623 0.001 0.2550 0.0004 1.0108 59.9834
0.010 1439.601 0.5359 0.2302 0.7954 59.8870
0.032 346.241 0.0474 0.0003 0.3765 60.0252
0.100 75.419 0.0574 0.0000 0.3848 60.0156
0.316 13.731 0.1050 0.0037 0.4718 60.0791
1.000 1.841 0.0426 0.0000 0.3401 59.9597
3.162 0.166 0.0873 0.0009 0.4297 59.8525
10.000 0.011 0.0731 0.0002 0.5858 60.1004
31.623 0.001 1.3316 0.3792 2.1006 60.3376
0.010 1439.601 0.1155 0.0000 0.3895 59.8902
0.032 346.241 0.6184 0.2649 0.8183 60.1719
0.100 75.419 0.8577 0.6155 1.0618 60.2060
0.316 13.731 0.1764 0.0006 0.4579 60.0956
1.000 1.841 0.4760 0.1356 0.6705 60.0819
3.162 0.166 0.7788 0.4333 1.0067 59.9616
10.000 0.011 0.0968 0.0003 0.6212 60.0947
31.623 0.001 1.9108 0.7005 2.7822 60.9181
0.010 1439.601 0.0985 0.0001 0.3516 59.8343
0.032 346.241 0.3480 0.0065 0.5077 59.8607
0.100 75.419 0.0499 0.0000 0.3671 59.9813
0.316 13.731 0.0859 0.0052 0.4647 59.8571
1.000 1.841 0.0478 0.0000 0.3267 60.0177
3.162 0.166 0.7349 0.3986 1.0005 59.9189
10.000 0.011 0.3533 0.0090 0.7859 59.9146
31.623 0.001 0.2711 0.0001 1.3550 59.8905
0.010 1439.601 0.1712 0.0006 0.4014 60.0365
0.032 346.241 0.4018 0.0489 0.5595 60.0823
0.100 75.419 0.1453 0.0000 0.4196 59.9891
0.316 13.731 0.4868 0.1578 0.7073 60.0359
1.000 1.841 0.0411 0.0001 0.3416 59.7606
3.162 0.166 0.0486 0.0001 0.3642 59.9070
10.000 0.011 0.1298 0.0028 0.6405 59.6492
31.623 0.001 1.0225 0.0007 1.4588 60.6509
0.010 1439.601 0.0515 0.0001 0.3372 60.0056
0.032 346.241 0.0659 0.0000 0.3436 60.1663
0.100 75.419 0.0640 0.0000 0.4396 59.9307
0.316 13.731 0.1261 0.0000 0.4129 59.9628
1.000 1.841 0.5406 0.1555 0.7074 59.9563
3.162 0.166 0.1542 0.0050 0.4999 59.9584
10.000 0.011 0.0799 0.0002 0.4537 60.1137
31.623 0.001 0.3039 0.0001 1.1542 60.3248
0.010 1439.601 0.0553 0.0000 0.2864 59.8334
0.032 346.241 0.0644 0.0001 0.2878 59.8266
0.100 75.419 0.0515 0.0000 0.2999 59.8202
0.316 13.731 0.9135 0.6559 1.1035 60.0201
1.000 1.841 0.4561 0.1258 0.6782 60.0016
3.162 0.166 0.0477 0.0001 0.3416 59.9325
10.000 0.011 0.0744 0.0025 0.5338 59.8442
31.623 0.001 0.1575 0.0000 0.9782 59.0893
0.010 1439.601 0.5752 0.1997 0.7392 60.0740
0.032 346.241 0.1558 0.0002 0.4315 60.0241
0.100 75.419 0.0522 0.0000 0.3714 59.9318
0.316 13.731 0.1660 0.0002 0.4358 59.8448
1.000 1.841 0.6490 0.3030 0.8810 60.0921
3.162 0.166 0.7685 0.4528 1.0370 60.0378
10.000 0.011 0.1049 0.0001 0.5982 59.7039
31.623 0.001 1.1398 0.0008 1.7152 60.3802
0.010 1439.601 0.0709 0.0001 0.3774 59.9034
0.032 346.241 0.0506 0.0000 0.3647 60.0752
0.100 75.419 0.1066 0.0000 0.3408 60.2069
0.316 13.731 0.0413 0.0000 0.3217 59.9212
1.000 1.841 0.8611 0.6519 1.0800 60.3278
3.162 0.166 0.0657 0.0009 0.4895 60.0710
10.000 0.011 0.0883 0.0009 0.6440 60.1234
31.623 0.001 1.9388 1.1815 2.7582 60.1830
0.010 1439.601 0.6476 0.2920 0.8580 59.9536
0.032 346.241 0.0562 0.0015 0.4420 60.2253
0.100 75.419 0.4028 0.1024 0.6282 60.0795
0.316 13.731 0.0504 0.0001 0.2394 60.1027
1.000 1.841 0.2764 0.0021 0.4307 60.0775
3.162 0.166 0.0584 0.0008 0.4260 60.0739
10.000 0.011 0.4965 0.0723 0.8576 60.0518
31.623 0.001 1.3090 0.2926 2.0367 59.8569
0.010 1439.601 0.6016 0.2322 0.8009 60.1048
0.032 346.241 0.0450 0.0000 0.2748 59.9189
0.100 75.419 0.0527 0.0000 0.3754 60.1156
0.316 13.731 0.0527 0.0000 0.3680 59.9813
1.000 1.841 0.1033 0.0005 0.4495 59.9954
3.162 0.166 0.5217 0.1279 0.7135 60.0046
10.000 0.011 0.0731 0.0005 0.6239 59.9384
31.623 0.001 1.6659 0.6410 2.4895 60.5402
0.010 1439.601 0.3982 0.0149 0.5245 60.1852
0.032 346.241 0.0826 0.0056 0.4743 60.0202
0.100 75.419 0.6893 0.4141 0.9511 59.8902
0.316 13.731 0.0700 0.0000 0.2859 59.7417
1.000 1.841 0.0503 0.0001 0.3616 59.9389
3.162 0.166 0.5765 0.1957 0.8044 59.9142
10.000 0.011 0.1327 0.0003 0.6223 59.7886
31.623 0.001 0.1886 0.0004 1.0191 59.5851
0.010 1439.601 0.6818 0.3748 0.9169 59.8166
0.032 346.241 0.6204 0.2951 0.8423 59.8669
0.100 75.419 0.0446 0.0004 0.2246 59.9987
0.316 13.731 0.8992 0.6627 1.0703 60.1180
1.000 1.841 0.7659 0.4733 0.9808 60.0780
3.162 0.166 0.0717 0.0000 0.4645 60.0495
10.000 0.011 0.1127 0.0000 0.4916 60.0081
31.623 0.001 0.2087 0.0000 1.1632 60.0785
0.010 1439.601 0.3609 0.0114 0.4956 59.9290
0.032 346.241 0.3648 0.0305 0.5188 60.0419
0.100 75.419 0.5214 0.1807 0.7300 59.9448
0.316 13.731 0.0506 0.0001 0.3144 60.1572
1.000 1.841 0.2901 0.0079 0.5018 60.0351
3.162 0.166 0.8645 0.5847 1.1155 60.1294
10.000 0.011 0.6548 0.1860 0.9977 60.2597
31.623 0.001 0.6392 0.0037 1.5088 60.1615
0.010 1439.601 0.1212 0.0013 0.4164 60.0442
0.032 346.241 0.0381 0.0000 0.3018 60.0556
0.100 75.419 0.5606 0.2134 0.7643 60.0197
0.316 13.731 0.0509 0.0006 0.3829 59.9687
1.000 1.841 0.0448 0.0001 0.3668 60.0089
3.162 0.166 0.0443 0.0000 0.3241 60.0396
10.000 0.011 0.0825 0.0007 0.4117 59.8437
31.623 0.001 0.5381 0.0002 1.8686 60.0614
0.010 1439.601 0.0635 0.0000 0.3811 59.9693
0.032 346.241 0.0495 0.0004 0.3089 60.0573
0.100 75.419 0.0928 0.0000 0.3649 59.9054
0.316 13.731 0.4286 0.0810 0.5984 60.0824
1.000 1.841 0.0602 0.0000 0.3219 60.0721
3.162 0.166 0.0589 0.0000 0.4579 59.9439
10.000 0.011 0.0707 0.0002 0.5076 59.8856
31.623 0.001 0.1782 0.0007 1.2586 60.7647
0.010 1439.601 0.2802 0.0006 0.4809 59.8112
0.032 346.241 0.0510 0.0007 0.4002 60.1167
0.100 75.419 0.0464 0.0000 0.3982 60.1054
0.316 13.731 0.0787 0.0001 0.3907 60.0659
1.000 1.841 0.6309 0.3228 0.8636 59.9219
3.162 0.166 0.2057 0.0000 0.4666 60.2032
10.000 0.011 0.0813 0.0001 0.4215 60.1797
31.623 0.001 0.1586 0.0000 0.8607 59.4664
0.010 1439.601 0.1727 0.0062 0.4631 59.9207
0.032 346.241 0.0471 0.0001 0.3425 60.0635
0.100 75.419 0.0800 0.0006 0.3297 59.9215
0.316 13.731 0.7279 0.3562 0.9163 60.1464
1.000 1.841 0.5325 0.2013 0.7664 60.0140
3.162 0.166 0.1426 0.0000 0.4455 59.7765
10.000 0.011 0.0669 0.0002 0.4903 59.9474
31.623 0.001 1.6278 0.8406 2.6909 59.2721
0.010 1439.601 0.1797 0.0001 0.3751 60.1542
0.032 346.241 0.0492 0.0000 0.3494 60.0526
0.100 75.419 0.0653 0.0001 0.2397 60.0300
0.316 13.731 0.0511 0.0001 0.2756 59.9791
1.000 1.841 0.0498 0.0001 0.3075 59.9063
3.162 0.166 0.0460 0.0001 0.2867 60.1396
10.000 0.011 0.9307 0.3620 1.2785 60.0808
31.623 0.001 2.2730 1.3101 3.1956 60.3876
0.010 1439.601 0.3099 0.3026 0.3186 60.0011
0.032 346.241 0.1820 0.1774 0.1865 59.9664
0.100 75.419 0.1637 0.1594 0.1680 59.9890
0.316 13.731 0.1698 0.1650 0.1738 59.9947
1.000 1.841 0.1713 0.1671 0.1758 59.9822
3.162 0.166 0.1640 0.1597 0.1687 59.9952
10.000 0.011 0.2320 0.2255 0.2421 59.9951
31.623 0.001 0.4739 0.4410 0.5167 60.0001
0.010 1439.601 0.2997 0.2927 0.3080 59.9951
0.032 346.241 0.1942 0.1895 0.1998 59.9954
0.100 75.419 0.1579 0.1530 0.1611 59.9966
0.316 13.731 0.1648 0.1604 0.1687 59.9864
1.000 1.841 0.1715 0.1666 0.1756 60.0012
3.162 0.166 0.1761 0.1713 0.1810 60.0016
10.000 0.011 0.2439 0.2352 0.2524 59.9770
31.623 0.001 0.4298 0.4032 0.4707 59.9110
0.010 1439.601 0.2960 0.2890 0.3041 60.0042
0.032 346.241 0.1881 0.1838 0.1932 59.9944
0.100 75.419 0.1592 0.1556 0.1640 59.9897
0.316 13.731 0.1648 0.1612 0.1694 59.9871
1.000 1.841 0.1736 0.1687 0.1775 59.9993
3.162 0.166 0.1719 0.1683 0.1774 59.9959
10.000 0.011 0.2399 0.2295 0.2474 60.0083
31.623 0.001 0.4276 0.3953 0.4631 60.0728
0.010 1439.601 0.2994 0.2902 0.3060 59.9981
0.032 346.241 0.1915 0.1870 0.1968 59.9985
0.100 75.419 0.1617 0.1579 0.1663 59.9968
0.316 13.731 0.1605 0.1563 0.1645 60.0023
1.000 1.841 0.1735 0.1691 0.1781 59.9873
3.162 0.166 0.1597 0.1559 0.1645 60.0030
10.000 0.011 0.2362 0.2274 0.2443 59.9967
31.623 0.001 0.4562 0.4209 0.5028 60.0061
0.010 1439.601 0.2999 0.2921 0.3068 59.9829
0.032 346.241 0.1871 0.1826 0.1921 59.9871
0.100 75.419 0.1704 0.1662 0.1747 59.9839
0.316 13.731 0.1628 0.1580 0.1663 59.9902
1.000 1.841 0.1668 0.1627 0.1712 60.0063
3.162 0.166 0.1683 0.1632 0.1722 59.9840
10.000 0.011 0.2287 0.2224 0.2395 59.9893
31.623 0.001 0.4298 0.3978 0.4698 60.0052
0.010 1439.601 0.3066 0.2987 0.3140 59.9866
0.032 346.241 0.1943 0.1899 0.1999 59.9788
0.100 75.419 0.1577 0.1545 0.1627 59.9979
0.316 13.731 0.1628 0.1581 0.1665 60.0016
1.000 1.841 0.1658 0.1616 0.1700 59.9871
3.162 0.166 0.1694 0.1647 0.1738 59.9912
10.000 0.011 0.2524 0.2426 0.2611 60.0029
31.623 0.001 0.4642 0.4210 0.5040 59.9719
0.010 1439.601 0.3019 0.2948 0.3102 59.9810
0.032 346.241 0.1862 0.1814 0.1908 59.9807
0.100 75.419 0.1643 0.1611 0.1695 59.9857
0.316 13.731 0.1574 0.1535 0.1610 60.0011
1.000 1.841 0.1665 0.1625 0.1709 60.0037
3.162 0.166 0.1697 0.1652 0.1745 60.0048
10.000 0.011 0.2266 0.2197 0.2354 59.9799
31.623 0.001 0.4904 0.4454 0.5319 60.0633
0.010 1439.601 0.2934 0.2844 0.2998 60.0101
0.032 346.241 0.1870 0.1831 0.1927 59.9940
0.100 75.419 0.1767 0.1718 0.1809 60.0044
0.316 13.731 0.1697 0.1656 0.1742 59.9860
1.000 1.841 0.1753 0.1713 0.1803 59.9929
3.162 0.166 0.1691 0.1657 0.1749 59.9888
10.000 0.011 0.2373 0.2289 0.2452 60.0036
31.623 0.001 0.4519 0.4214 0.4921 60.0006
0.010 1439.601 0.2921 0.2859 0.3008 59.9972
0.032 346.241 0.2021 0.1972 0.2072 59.9843
0.100 75.419 0.1634 0.1594 0.1675 59.9998
0.316 13.731 0.1699 0.1648 0.1736 59.9972
1.000 1.841 0.1678 0.1640 0.1722 59.9866
3.162 0.166 0.1652 0.1603 0.1695 60.0030
10.000 0.011 0.2457 0.2383 0.2556 60.0036
31.623 0.001 0.4901 0.4550 0.5289 59.9764
0.010 1439.601 0.2916 0.2844 0.2993 59.9745
0.032 346.241 0.1841 0.1798 0.1889 59.9736
0.100 75.419 0.1618 0.1581 0.1665 59.9912
0.316 13.731 0.1537 0.1504 0.1583 60.0151
1.000 1.841 0.1683 0.1639 0.1729 59.9975
3.162 0.166 0.1645 0.1608 0.1693 59.9867
10.000 0.011 0.2456 0.2359 0.2535 59.9967
31.623 0.001 0.4098 0.3688 0.4453 60.0998
0.010 1439.601 0.2986 0.2912 0.3062 59.9829
0.032 346.241 0.1904 0.1848 0.1945 59.9847
0.100 75.419 0.1612 0.1574 0.1656 59.9908
0.316 13.731 0.1728 0.1687 0.1774 59.9901
1.000 1.841 0.1723 0.1680 0.1763 59.9863
3.162 0.166 0.1766 0.1717 0.1815 59.9911
10.000 0.011 0.2372 0.2287 0.2463 59.9891
31.623 0.001 0.4149 0.3808 0.4545 59.9895
0.010 1439.601 0.2985 0.2912 0.3062 59.9818
0.032 346.241 0.1937 0.1880 0.1977 59.9901
0.100 75.419 0.1685 0.1643 0.1731 59.9993
0.316 13.731 0.1667 0.1624 0.1711 59.9996
1.000 1.841 0.1718 0.1671 0.1761 59.9853
3.162 0.166 0.1675 0.1632 0.1724 59.9920
10.000 0.011 0.2359 0.2283 0.2448 59.9994
31.623 0.001 0.5000 0.4621 0.5415 60.0000
0.010 1439.601 0.3037 0.2951 0.3100 59.9853
0.032 346.241 0.1820 0.1777 0.1870 59.9831
0.100 75.419 0.1661 0.1616 0.1702 59.9966
0.316 13.731 0.1687 0.1641 0.1728 59.9980
1.000 1.841 0.1721 0.1685 0.1774 59.9937
3.162 0.166 0.1731 0.1684 0.1774 59.9858
10.000 0.011 0.2265 0.2172 0.2342 59.9916
31.623 0.001 0.4681 0.4293 0.5027 60.0399
0.010 1439.601 0.2953 0.2879 0.3032 59.9744
0.032 346.241 0.1948 0.1895 0.1996 59.9799
0.100 75.419 0.1673 0.1632 0.1717 59.9834
0.316 13.731 0.1567 0.1526 0.1607 59.9971
1.000 1.841 0.1698 0.1656 0.1744 59.9957
3.162 0.166 0.1770 0.1716 0.1814 59.9929
10.000 0.011 0.2463 0.2367 0.2544 59.9981
31.623 0.001 0.4395 0.4074 0.4791 59.9141
0.010 1439.601 0.3011 0.2926 0.3074 59.9847
0.032 346.241 0.1855 0.1814 0.1906 59.9842
0.100 75.419 0.1712 0.1668 0.1755 59.9943
0.316 13.731 0.1739 0.1691 0.1780 59.9896
1.000 1.841 0.1669 0.1623 0.1708 59.9925
3.162 0.166 0.1718 0.1670 0.1763 59.9944
10.000 0.011 0.2437 0.2357 0.2536 60.0011
31.623 0.001 0.4794 0.4384 0.5205 59.9123
0.010 1439.601 0.3118 0.3041 0.3199 59.9906
0.032 346.241 0.1920 0.1874 0.1974 59.9832
0.100 75.419 0.1665 0.1620 0.1705 59.9798
0.316 13.731 0.1659 0.1620 0.1707 59.9913
1.000 1.841 0.1690 0.1644 0.1727 59.9932
3.162 0.166 0.1657 0.1614 0.1703 59.9883
10.000 0.011 0.2428 0.2341 0.2522 59.9987
31.623 0.001 0.4576 0.4127 0.4947 60.0426
0.010 1439.601 0.3006 0.2926 0.3078 59.9831
0.032 346.241 0.1770 0.1725 0.1815 59.9996
0.100 75.419 0.1629 0.1598 0.1680 59.9932
0.316 13.731 0.1660 0.1624 0.1708 59.9915
1.000 1.841 0.1707 0.1667 0.1754 60.0010
3.162 0.166 0.1660 0.1613 0.1702 60.0046
10.000 0.011 0.2495 0.2411 0.2597 60.0305
31.623 0.001 0.4646 0.4334 0.5024 60.0839
0.010 1439.601 0.2925 0.2848 0.2997 59.9805
0.032 346.241 0.1946 0.1896 0.1993 59.9927
0.100 75.419 0.1642 0.1602 0.1685 60.0039
0.316 13.731 0.1741 0.1696 0.1783 59.9953
1.000 1.841 0.1611 0.1568 0.1652 59.9972
3.162 0.166 0.1723 0.1677 0.1775 59.9867
10.000 0.011 0.2379 0.2292 0.2470 60.0194
31.623 0.001 0.4566 0.4173 0.4911 59.9394
0.010 1439.601 0.3014 0.2931 0.3087 59.9832
0.032 346.241 0.1866 0.1832 0.1924 59.9946
0.100 75.419 0.1677 0.1626 0.1711 59.9964
0.316 13.731 0.1639 0.1600 0.1682 59.9935
1.000 1.841 0.1656 0.1616 0.1701 60.0019
3.162 0.166 0.1708 0.1660 0.1754 59.9967
10.000 0.011 0.2444 0.2352 0.2532 59.9898
31.623 0.001 0.4720 0.4352 0.5130 59.9499
0.010 1439.601 0.3078 0.3009 0.3169 59.9841
0.032 346.241 0.1947 0.1907 0.2002 59.9799
0.100 75.419 0.1564 0.1526 0.1607 60.0011
0.316 13.731 0.1719 0.1674 0.1764 59.9911
1.000 1.841 0.1653 0.1610 0.1696 60.0059
3.162 0.166 0.1700 0.1659 0.1748 60.0022
10.000 0.011 0.2360 0.2268 0.2440 59.9787
31.623 0.001 0.4565 0.4215 0.4928 59.9131
0.010 1439.601 0.2921 0.2851 0.2999 59.9761
0.032 346.241 0.1899 0.1852 0.1946 59.9766
0.100 75.419 0.1621 0.1577 0.1659 59.9898
0.316 13.731 0.1591 0.1546 0.1628 59.9952
1.000 1.841 0.1699 0.1655 0.1743 59.9998
3.162 0.166 0.1740 0.1687 0.1784 60.0090
10.000 0.011 0.2518 0.2438 0.2613 60.0122
31.623 0.001 0.4793 0.4439 0.5247 60.0400
0.010 1439.601 0.3013 0.2940 0.3092 59.9907
0.032 346.241 0.1867 0.1820 0.1916 59.9923
0.100 75.419 0.1660 0.1617 0.1700 59.9914
0.316 13.731 0.1576 0.1542 0.1621 59.9898
1.000 1.841 0.1632 0.1592 0.1676 59.9972
3.162 0.166 0.1728 0.1678 0.1769 59.9962
10.000 0.011 0.2438 0.2348 0.2525 59.9968
31.623 0.001 0.4626 0.4333 0.5046 60.0720
0.010 1439.601 0.2969 0.2901 0.3045 59.9815
0.032 346.241 0.1867 0.1821 0.1917 59.9873
0.100 75.419 0.1682 0.1644 0.1730 59.9856
0.316 13.731 0.1749 0.1702 0.1792 59.9980
1.000 1.841 0.1743 0.1698 0.1790 59.9945
3.162 0.166 0.1768 0.1722 0.1819 59.9912
10.000 0.011 0.2453 0.2365 0.2544 60.0096
31.623 0.001 0.4989 0.4599 0.5443 59.8872
0.010 1439.601 0.2942 0.2857 0.3008 59.9878
0.032 346.241 0.2002 0.1955 0.2058 59.9796
0.100 75.419 0.1607 0.1574 0.1654 59.9840
0.316 13.731 0.1641 0.1599 0.1685 59.9853
1.000 1.841 0.1679 0.1638 0.1724 60.0119
3.162 0.166 0.1732 0.1684 0.1775 59.9940
10.000 0.011 0.2308 0.2231 0.2394 59.9767
