#A  P  sigma   slow   shigh   mu  
0.032 346.241 0.3270 0.3247 0.3300 59.9847
0.100 75.419 0.2747 0.2728 0.2772 59.9874
0.316 13.731 0.2873 0.2847 0.2892 59.9908
1.000 1.841 0.2924 0.2899 0.2947 59.9868
3.162 0.166 0.3305 0.3275 0.3337 59.9875
10.000 0.011 0.4707 0.4604 0.4778 59.9938
31.623 0.001 0.7771 0.7391 0.8227 59.9134
0.010 1439.601 0.5122 0.5079 0.5162 59.9755
0.032 346.241 0.3218 0.3190 0.3242 59.9807
0.100 75.419 0.2812 0.2786 0.2831 59.9885
0.316 13.731 0.2887 0.2863 0.2909 59.9872
1.000 1.841 0.2931 0.2908 0.2955 59.9940
3.162 0.166 0.3333 0.3301 0.3364 59.9919
10.000 0.011 0.4774 0.4706 0.4881 59.9932
31.623 0.001 0.7594 0.7204 0.8014 59.8834
0.010 1439.601 0.5097 0.5053 0.5134 59.9679
0.032 346.241 0.3286 0.3262 0.3314 59.9737
0.100 75.419 0.2827 0.2805 0.2851 59.9855
0.316 13.731 0.2842 0.2819 0.2865 59.9927
1.000 1.841 0.2968 0.2942 0.2991 59.9957
3.162 0.166 0.3385 0.3351 0.3415 59.9912
10.000 0.011 0.4845 0.4765 0.4935 59.9701
31.623 0.001 0.8161 0.7716 0.8586 59.9381
0.010 1439.601 0.5101 0.5065 0.5147 59.9661
0.032 346.241 0.3260 0.3234 0.3288 59.9844
0.100 75.419 0.2798 0.2778 0.2822 59.9806
0.316 13.731 0.2841 0.2819 0.2864 59.9945
1.000 1.841 0.2920 0.2892 0.2940 59.9934
3.162 0.166 0.3330 0.3294 0.3359 59.9978
10.000 0.011 0.4708 0.4623 0.4791 60.0164
31.623 0.001 0.8189 0.7680 0.8559 60.0317
0.010 1439.601 0.5171 0.5133 0.5215 59.9713
0.032 346.241 0.3226 0.3199 0.3250 59.9818
0.100 75.419 0.2815 0.2789 0.2835 59.9861
0.316 13.731 0.2854 0.2831 0.2877 59.9913
1.000 1.841 0.2926 0.2903 0.2951 59.9895
3.162 0.166 0.3343 0.3314 0.3376 59.9918
10.000 0.011 0.4721 0.4637 0.4814 59.9801
31.623 0.001 0.7787 0.7245 0.8189 60.1187
0.010 1439.601 0.5072 0.5034 0.5116 59.9738
0.032 346.241 0.3217 0.3190 0.3241 59.9781
0.100 75.419 0.2819 0.2797 0.2842 59.9883
0.316 13.731 0.2878 0.2854 0.2901 59.9892
1.000 1.841 0.2938 0.2917 0.2964 59.9953
3.162 0.166 0.3334 0.3305 0.3368 59.9911
10.000 0.011 0.4656 0.4572 0.4739 59.9972
31.623 0.001 0.8354 0.7888 0.8788 60.0338
0.010 1439.601 0.5130 0.5083 0.5167 59.9752
0.032 346.241 0.3240 0.3218 0.3268 59.9838
0.100 75.419 0.2788 0.2764 0.2809 59.9853
0.316 13.731 0.2852 0.2828 0.2874 59.9872
1.000 1.841 0.2919 0.2896 0.2945 59.9933
3.162 0.166 0.3342 0.3307 0.3370 59.9912
10.000 0.011 0.4739 0.4654 0.4828 59.9698
31.623 0.001 0.8179 0.7860 0.8796 60.1062
0.010 1439.601 0.5210 0.5168 0.5253 59.9721
0.032 346.241 0.3262 0.3237 0.3289 59.9877
0.100 75.419 0.2865 0.2838 0.2883 59.9874
0.316 13.731 0.2872 0.2846 0.2892 59.9916
1.000 1.841 0.2895 0.2874 0.2922 59.9936
3.162 0.166 0.3347 0.3315 0.3379 59.9953
10.000 0.011 0.4805 0.4728 0.4903 60.0144
31.623 0.001 0.8283 0.7833 0.8751 60.0691
0.010 1439.601 0.5126 0.5085 0.5167 59.9702
0.032 346.241 0.3216 0.3190 0.3241 59.9858
0.100 75.419 0.2818 0.2800 0.2846 59.9883
0.316 13.731 0.2861 0.2835 0.2882 59.9896
1.000 1.841 0.2945 0.2918 0.2965 59.9915
3.162 0.166 0.3348 0.3315 0.3376 59.9978
10.000 0.011 0.4764 0.4690 0.4862 59.9730
31.623 0.001 0.7930 0.7609 0.8471 60.0345
0.010 1439.601 0.5095 0.5053 0.5135 59.9647
0.032 346.241 0.3238 0.3212 0.3265 59.9819
0.100 75.419 0.2808 0.2787 0.2833 59.9858
0.316 13.731 0.2824 0.2799 0.2845 59.9915
1.000 1.841 0.2888 0.2864 0.2911 59.9947
3.162 0.166 0.3322 0.3291 0.3353 59.9919
10.000 0.011 0.4761 0.4693 0.4863 59.9748
31.623 0.001 0.8151 0.7705 0.8542 60.0110
0.010 1439.601 0.5149 0.5108 0.5191 59.9741
0.032 346.241 0.3262 0.3237 0.3289 59.9751
0.100 75.419 0.2759 0.2738 0.2782 59.9910
0.316 13.731 0.2846 0.2822 0.2867 59.9869
1.000 1.841 0.2935 0.2907 0.2953 59.9903
3.162 0.166 0.3355 0.3323 0.3388 59.9958
10.000 0.011 0.4676 0.4603 0.4774 60.0028
31.623 0.001 0.7693 0.7303 0.8105 59.9950
0.010 1439.601 0.5132 0.5096 0.5178 59.9681
0.032 346.241 0.3214 0.3192 0.3243 59.9821
0.100 75.419 0.2823 0.2802 0.2847 59.9892
0.316 13.731 0.2833 0.2815 0.2860 59.9914
1.000 1.841 0.2942 0.2921 0.2969 59.9965
3.162 0.166 0.3344 0.3311 0.3374 59.9923
10.000 0.011 0.4597 0.4525 0.4685 59.9858
31.623 0.001 0.7198 0.6806 0.7595 60.0144
0.010 1439.601 0.5174 0.5137 0.5219 59.9646
0.032 346.241 0.3247 0.3216 0.3269 59.9808
0.100 75.419 0.2836 0.2811 0.2857 59.9862
0.316 13.731 0.2833 0.2811 0.2857 59.9890
1.000 1.841 0.2963 0.2934 0.2983 59.9927
3.162 0.166 0.3327 0.3294 0.3357 59.9885
10.000 0.011 0.4544 0.4441 0.4608 59.9796
31.623 0.001 0.6618 0.6264 0.6991 59.9026
0.010 1439.601 0.5104 0.5057 0.5138 59.9725
0.032 346.241 0.3227 0.3198 0.3250 59.9739
0.100 75.419 0.2832 0.2807 0.2854 59.9885
0.316 13.731 0.2847 0.2821 0.2867 59.9945
1.000 1.841 0.2926 0.2906 0.2953 59.9900
3.162 0.166 0.3313 0.3283 0.3347 59.9913
10.000 0.011 0.4699 0.4608 0.4771 59.9790
31.623 0.001 0.6536 0.6231 0.6934 59.9390
0.010 1439.601 0.5130 0.5083 0.5166 59.9682
0.032 346.241 0.3254 0.3233 0.3286 59.9768
0.100 75.419 0.2790 0.2766 0.2812 59.9862
0.316 13.731 0.2844 0.2820 0.2866 59.9891
1.000 1.841 0.2944 0.2923 0.2971 59.9898
3.162 0.166 0.3337 0.3305 0.3370 59.9895
10.000 0.011 0.4512 0.4428 0.4590 59.9931
31.623 0.001 0.7392 0.6982 0.7748 59.8985
0.010 1439.601 0.5161 0.5129 0.5211 59.9636
0.032 346.241 0.3280 0.3256 0.3308 59.9852
0.100 75.419 0.2805 0.2783 0.2829 59.9916
0.316 13.731 0.2843 0.2820 0.2865 59.9907
1.000 1.841 0.2918 0.2892 0.2939 59.9871
3.162 0.166 0.3315 0.3280 0.3342 59.9934
10.000 0.011 0.4527 0.4454 0.4615 59.9857
31.623 0.001 0.7473 0.7029 0.7847 59.9900
0.010 1439.601 0.5120 0.5081 0.5163 59.9645
0.032 346.241 0.3245 0.3217 0.3269 59.9801
0.100 75.419 0.2828 0.2805 0.2850 59.9805
0.316 13.731 0.2869 0.2844 0.2889 59.9899
1.000 1.841 0.2959 0.2934 0.2983 59.9927
3.162 0.166 0.3341 0.3311 0.3374 59.9906
10.000 0.011 0.4614 0.4532 0.4697 59.9873
31.623 0.001 0.6989 0.6587 0.7414 60.0064
0.010 1439.601 0.5114 0.5076 0.5158 59.9653
0.032 346.241 0.3269 0.3244 0.3298 59.9751
0.100 75.419 0.2826 0.2806 0.2852 59.9822
0.316 13.731 0.2815 0.2797 0.2842 59.9957
1.000 1.841 0.2923 0.2898 0.2946 59.9932
3.162 0.166 0.3292 0.3260 0.3322 59.9900
10.000 0.011 0.4571 0.4482 0.4650 59.9608
31.623 0.001 0.6745 0.6383 0.7100 60.0399
0.010 1439.601 0.5153 0.5114 0.5196 59.9720
0.032 346.241 0.3225 0.3204 0.3256 59.9847
0.100 75.419 0.2801 0.2774 0.2820 59.9889
0.316 13.731 0.2837 0.2817 0.2862 59.9939
1.000 1.841 0.2938 0.2909 0.2958 59.9907
3.162 0.166 0.3352 0.3323 0.3385 59.9913
10.000 0.011 0.4593 0.4522 0.4690 59.9874
31.623 0.001 0.7090 0.6761 0.7590 60.0360
0.010 1439.601 0.5139 0.5100 0.5183 59.9753
0.032 346.241 0.3257 0.3228 0.3280 59.9859
0.100 75.419 0.2833 0.2809 0.2855 59.9891
0.316 13.731 0.2840 0.2817 0.2861 59.9923
1.000 1.841 0.2923 0.2900 0.2947 59.9906
3.162 0.166 0.3324 0.3293 0.3356 59.9862
10.000 0.011 0.4914 0.4822 0.5001 59.9876
31.623 0.001 0.8180 0.7785 0.8724 60.0572
0.010 1439.601 0.5085 0.5046 0.5127 59.9747
0.032 346.241 0.3233 0.3209 0.3261 59.9784
0.100 75.419 0.2808 0.2786 0.2831 59.9902
0.316 13.731 0.2848 0.2828 0.2874 59.9842
1.000 1.841 0.2943 0.2920 0.2968 59.9882
3.162 0.166 0.3310 0.3279 0.3342 59.9906
10.000 0.011 0.4870 0.4780 0.4952 59.9837
31.623 0.001 0.8443 0.7932 0.8856 59.9378
0.010 1439.601 0.5132 0.5093 0.5175 59.9578
0.032 346.241 0.3228 0.3200 0.3253 59.9799
0.100 75.419 0.2791 0.2766 0.2811 59.9823
0.316 13.731 0.2870 0.2849 0.2895 59.9901
1.000 1.841 0.2927 0.2898 0.2947 59.9949
3.162 0.166 0.3178 0.3152 0.3207 59.9887
10.000 0.011 0.4126 0.4078 0.4173 59.9814
31.623 0.001 0.7409 0.7200 0.7613 59.9932
0.010 1439.601 0.5163 0.5125 0.5209 59.9700
0.032 346.241 0.3236 0.3211 0.3263 59.9783
0.100 75.419 0.2818 0.2797 0.2843 59.9865
0.316 13.731 0.2851 0.2826 0.2873 59.9941
1.000 1.841 0.2934 0.2911 0.2958 59.9903
3.162 0.166 0.3415 0.3392 0.3448 59.9710
10.000 0.011 0.4988 0.4941 0.5035 59.8611
31.623 0.001 0.6969 0.6847 0.7079 59.5292
0.010 1439.601 0.5056 0.5020 0.5100 59.9589
0.032 346.241 0.3227 0.3199 0.3250 59.9752
0.100 75.419 0.2830 0.2809 0.2855 59.9873
0.316 13.731 0.2845 0.2820 0.2865 59.9888
1.000 1.841 0.2947 0.2922 0.2969 59.9965
3.162 0.166 0.3171 0.3144 0.3197 59.9965
10.000 0.011 0.4132 0.4090 0.4184 59.9911
31.623 0.001 0.7046 0.6857 0.7260 59.9764
0.010 1439.601 0.5112 0.5070 0.5153 59.9768
0.032 346.241 0.3223 0.3198 0.3250 59.9811
0.100 75.419 0.2807 0.2784 0.2829 59.9922
0.316 13.731 0.2828 0.2808 0.2852 59.9865
1.000 1.841 0.2881 0.2856 0.2902 59.9871
3.162 0.166 0.3131 0.3108 0.3160 59.9875
10.000 0.011 0.4059 0.4017 0.4106 60.0009
31.623 0.001 0.7284 0.7077 0.7494 59.9237
0.010 1439.601 0.5136 0.5102 0.5185 59.9770
0.032 346.241 0.3221 0.3198 0.3249 59.9769
0.100 75.419 0.2775 0.2754 0.2798 59.9825
0.316 13.731 0.2830 0.2809 0.2854 59.9853
1.000 1.841 0.2899 0.2876 0.2922 59.9961
