#A  P  sigma   slow   shigh   mu  
10.000 0.011 0.4195 0.4149 0.4242 59.9952
31.623 0.001 0.7270 0.7093 0.7500 59.9889
0.010 1439.601 0.5141 0.5101 0.5184 59.9706
0.032 346.241 0.3260 0.3230 0.3282 59.9829
0.100 75.419 0.2817 0.2796 0.2843 59.9898
0.316 13.731 0.2843 0.2820 0.2865 59.9882
1.000 1.841 0.2914 0.2887 0.2933 59.9937
3.162 0.166 0.3184 0.3155 0.3208 59.9914
10.000 0.011 0.4114 0.4067 0.4161 59.9832
31.623 0.001 0.7190 0.7013 0.7409 59.9838
0.010 1439.601 0.5100 0.5057 0.5140 59.9582
0.032 346.241 0.3248 0.3225 0.3277 59.9777
0.100 75.419 0.2815 0.2795 0.2841 59.9888
0.316 13.731 0.2829 0.2810 0.2855 59.9883
1.000 1.841 0.2934 0.2913 0.2960 59.9928
3.162 0.166 0.3190 0.3164 0.3217 59.9956
10.000 0.011 0.4177 0.4131 0.4224 59.9914
31.623 0.001 0.7253 0.7056 0.7474 59.9376
0.010 1439.601 0.5123 0.5084 0.5166 59.9703
0.032 346.241 0.3210 0.3187 0.3238 59.9785
0.100 75.419 0.2796 0.2772 0.2817 59.9856
0.316 13.731 0.2881 0.2861 0.2907 59.9939
1.000 1.841 0.2945 0.2923 0.2969 59.9922
3.162 0.166 0.3143 0.3112 0.3165 59.9860
10.000 0.011 0.4110 0.4062 0.4155 59.9859
31.623 0.001 0.7260 0.7065 0.7467 59.9947
0.010 1439.601 0.5170 0.5135 0.5218 59.9659
0.032 346.241 0.3225 0.3200 0.3251 59.9809
0.100 75.419 0.2781 0.2754 0.2800 59.9867
0.316 13.731 0.2873 0.2848 0.2894 59.9893
1.000 1.841 0.2914 0.2889 0.2935 59.9885
3.162 0.166 0.3128 0.3107 0.3159 59.9932
10.000 0.011 0.4187 0.4140 0.4237 59.9825
31.623 0.001 0.7431 0.7227 0.7631 59.9815
0.010 1439.601 0.5135 0.5095 0.5178 59.9714
0.032 346.241 0.3261 0.3234 0.3286 59.9803
0.100 75.419 0.2791 0.2767 0.2813 59.9826
0.316 13.731 0.2900 0.2873 0.2921 59.9878
1.000 1.841 0.2960 0.2936 0.2984 59.9905
3.162 0.166 0.3162 0.3129 0.3183 59.9897
10.000 0.011 0.4176 0.4127 0.4223 59.9888
31.623 0.001 0.7414 0.7241 0.7676 60.0012
0.010 1439.601 0.5124 0.5082 0.5163 59.9712
0.032 346.241 0.3190 0.3162 0.3212 59.9810
0.100 75.419 0.2804 0.2786 0.2831 59.9818
0.316 13.731 0.2840 0.2820 0.2865 59.9934
1.000 1.841 0.2924 0.2900 0.2948 59.9956
3.162 0.166 0.3109 0.3079 0.3132 59.9904
10.000 0.011 0.4154 0.4103 0.4197 59.9967
31.623 0.001 0.7178 0.6972 0.7384 59.9847
0.010 1439.601 0.5052 0.5011 0.5092 59.9716
0.032 346.241 0.3227 0.3205 0.3254 59.9789
0.100 75.419 0.2834 0.2810 0.2855 59.9876
0.316 13.731 0.2836 0.2814 0.2859 59.9957
1.000 1.841 0.2923 0.2901 0.2948 59.9901
3.162 0.166 0.3153 0.3126 0.3181 59.9936
10.000 0.011 0.4067 0.4026 0.4116 59.9793
31.623 0.001 0.7218 0.7011 0.7409 59.9939
0.010 1439.601 0.5131 0.5091 0.5174 59.9655
0.032 346.241 0.3283 0.3256 0.3309 59.9742
0.100 75.419 0.2814 0.2791 0.2836 59.9914
0.316 13.731 0.2832 0.2811 0.2857 59.9891
1.000 1.841 0.2902 0.2877 0.2924 59.9908
3.162 0.166 0.3155 0.3131 0.3183 59.9902
10.000 0.011 0.4095 0.4054 0.4146 59.9857
31.623 0.001 0.7089 0.6880 0.7282 59.9801
0.010 1439.601 0.5169 0.5132 0.5215 59.9755
0.032 346.241 0.3226 0.3199 0.3252 59.9776
0.100 75.419 0.2806 0.2781 0.2825 59.9849
0.316 13.731 0.2837 0.2814 0.2861 59.9892
1.000 1.841 0.2946 0.2924 0.2971 59.9916
3.162 0.166 0.3166 0.3141 0.3194 59.9902
10.000 0.011 0.4166 0.4106 0.4202 59.9804
31.623 0.001 0.7287 0.7070 0.7476 60.0526
0.010 1439.601 0.5137 0.5090 0.5172 59.9697
0.032 346.241 0.3245 0.3219 0.3271 59.9840
0.100 75.419 0.2815 0.2790 0.2835 59.9869
0.316 13.731 0.2839 0.2816 0.2861 59.9924
1.000 1.841 0.2952 0.2931 0.2979 59.9946
3.162 0.166 0.3198 0.3171 0.3224 59.9931
10.000 0.011 0.4192 0.4146 0.4241 59.9913
31.623 0.001 0.7176 0.6988 0.7400 60.0259
0.010 1439.601 0.5097 0.5050 0.5133 59.9681
0.032 346.241 0.3256 0.3234 0.3286 59.9881
0.100 75.419 0.2828 0.2804 0.2850 59.9860
0.316 13.731 0.2837 0.2813 0.2859 59.9890
1.000 1.841 0.2928 0.2902 0.2949 59.9956
3.162 0.166 0.3136 0.3110 0.3163 59.9884
10.000 0.011 0.4116 0.4070 0.4166 60.0004
31.623 0.001 0.7227 0.7023 0.7424 59.9726
0.010 1439.601 0.5160 0.5112 0.5195 59.9667
0.032 346.241 0.3226 0.3200 0.3252 59.9889
0.100 75.419 0.2786 0.2762 0.2806 59.9879
0.316 13.731 0.2840 0.2821 0.2867 59.9914
1.000 1.841 0.2903 0.2879 0.2926 59.9988
3.162 0.166 0.3126 0.3096 0.3148 59.9944
10.000 0.011 0.4121 0.4069 0.4163 59.9991
31.623 0.001 0.7272 0.7092 0.7499 59.9339
0.010 1439.601 0.5111 0.5073 0.5154 59.9661
0.032 346.241 0.3275 0.3250 0.3302 59.9707
0.100 75.419 0.2773 0.2749 0.2794 59.9849
0.316 13.731 0.2889 0.2869 0.2915 59.9871
1.000 1.841 0.2905 0.2880 0.2929 59.9919
3.162 0.166 0.3190 0.3162 0.3215 59.9967
10.000 0.011 0.4156 0.4119 0.4212 59.9918
31.623 0.001 0.7335 0.7123 0.7536 59.9635
0.010 1439.601 0.5214 0.5172 0.5255 59.9837
0.032 346.241 0.3286 0.3259 0.3312 59.9828
0.100 75.419 0.2814 0.2788 0.2833 59.9910
0.316 13.731 0.2848 0.2824 0.2870 59.9899
1.000 1.841 0.2878 0.2859 0.2905 59.9946
3.162 0.166 0.3156 0.3131 0.3183 59.9881
10.000 0.011 0.4114 0.4064 0.4157 59.9855
31.623 0.001 0.7023 0.6813 0.7206 60.0187
0.010 1439.601 0.5158 0.5115 0.5197 59.9629
0.032 346.241 0.3158 0.3130 0.3181 59.9734
0.100 75.419 0.2836 0.2809 0.2854 59.9836
0.316 13.731 0.2852 0.2825 0.2871 59.9869
1.000 1.841 0.2882 0.2860 0.2907 59.9933
3.162 0.166 0.3177 0.3146 0.3200 59.9921
10.000 0.011 0.4136 0.4087 0.4182 59.9845
31.623 0.001 0.6988 0.6810 0.7201 60.0230
0.010 1439.601 0.5123 0.5081 0.5162 59.9663
0.032 346.241 0.3282 0.3257 0.3309 59.9779
0.100 75.419 0.2810 0.2786 0.2831 59.9926
0.316 13.731 0.2818 0.2796 0.2840 59.9921
1.000 1.841 0.2920 0.2894 0.2940 59.9871
3.162 0.166 0.3146 0.3120 0.3174 59.9988
10.000 0.011 0.4160 0.4121 0.4217 59.9922
31.623 0.001 0.7205 0.7018 0.7419 59.9906
0.010 1439.601 0.5162 0.5120 0.5203 59.9695
0.032 346.241 0.3272 0.3248 0.3301 59.9826
0.100 75.419 0.2806 0.2779 0.2824 59.9877
0.316 13.731 0.2870 0.2850 0.2896 59.9929
1.000 1.841 0.2906 0.2882 0.2929 59.9890
3.162 0.166 0.3194 0.3161 0.3214 59.9839
10.000 0.011 0.4103 0.4052 0.4145 59.9949
31.623 0.001 0.7342 0.7108 0.7528 60.0175
0.010 1439.601 0.5141 0.5092 0.5177 59.9774
0.032 346.241 0.3285 0.3258 0.3310 59.9822
0.100 75.419 0.2835 0.2810 0.2856 59.9901
0.316 13.731 0.2831 0.2807 0.2853 59.9919
1.000 1.841 0.2907 0.2884 0.2931 59.9924
3.162 0.166 0.3162 0.3136 0.3189 59.9911
10.000 0.011 0.4132 0.4080 0.4175 59.9994
31.623 0.001 0.7372 0.7172 0.7594 59.9971
0.010 1439.601 0.5198 0.5154 0.5237 59.9661
0.032 346.241 0.3202 0.3179 0.3231 59.9826
0.100 75.419 0.2792 0.2771 0.2816 59.9827
0.316 13.731 0.2856 0.2834 0.2878 59.9868
1.000 1.841 0.2928 0.2906 0.2953 59.9934
3.162 0.166 0.3183 0.3158 0.3211 59.9939
10.000 0.011 0.4110 0.4064 0.4156 59.9961
31.623 0.001 0.7016 0.6809 0.7214 60.0007
0.010 1439.601 0.5208 0.5170 0.5254 59.9686
0.032 346.241 0.3252 0.3228 0.3281 59.9844
0.100 75.419 0.2775 0.2754 0.2798 59.9867
0.316 13.731 0.2863 0.2844 0.2890 59.9880
1.000 1.841 0.2950 0.2924 0.2973 59.9966
3.162 0.166 0.3168 0.3143 0.3197 59.9924
10.000 0.011 0.4088 0.4045 0.4138 59.9971
31.623 0.001 0.7310 0.7109 0.7515 59.9593
0.010 1439.601 0.5162 0.5114 0.5198 59.9699
0.032 346.241 0.3239 0.3211 0.3263 59.9807
0.100 75.419 0.2833 0.2809 0.2854 59.9903
0.316 13.731 0.2858 0.2834 0.2879 59.9945
1.000 1.841 0.2932 0.2910 0.2956 59.9933
3.162 0.166 0.3169 0.3141 0.3194 59.9911
10.000 0.011 0.4168 0.4118 0.4212 59.9855
31.623 0.001 0.7324 0.7132 0.7539 59.9912
0.010 1439.601 0.5158 0.5118 0.5201 59.9684
0.032 346.241 0.3273 0.3249 0.3300 59.9839
0.100 75.419 0.2795 0.2772 0.2816 59.9827
0.316 13.731 0.2836 0.2813 0.2858 59.9860
1.000 1.841 0.2918 0.2896 0.2943 59.9894
3.162 0.166 0.3143 0.3115 0.3169 59.9961
10.000 0.011 0.4103 0.4056 0.4151 59.9940
31.623 0.001 0.7229 0.7013 0.7410 60.0256
0.010 1439.601 0.5141 0.5102 0.5184 59.9756
0.032 346.241 0.3230 0.3209 0.3260 59.9791
0.100 75.419 0.2821 0.2795 0.2841 59.9905
0.316 13.731 0.2871 0.2851 0.2897 59.9876
1.000 1.841 0.2909 0.2883 0.2930 59.9925
3.162 0.166 0.3188 0.3155 0.3208 59.9919
10.000 0.011 0.4096 0.4045 0.4137 59.9895
31.623 0.001 0.7272 0.7030 0.7431 60.0513
0.010 1439.601 0.5164 0.5122 0.5207 59.9651
0.032 346.241 0.3284 0.3258 0.3310 59.9779
0.100 75.419 0.2830 0.2809 0.2855 59.9857
0.316 13.731 0.2835 0.2813 0.2859 59.9933
1.000 1.841 0.2907 0.2885 0.2932 59.9895
3.162 0.166 0.3197 0.3169 0.3224 59.9928
10.000 0.011 0.4078 0.4040 0.4131 59.9811
31.623 0.001 0.7445 0.7223 0.7640 59.9430
0.010 1439.601 0.5153 0.5119 0.5201 59.9728
0.032 346.241 0.3268 0.3241 0.3294 59.9829
0.100 75.419 0.2787 0.2768 0.2812 59.9927
0.316 13.731 0.2825 0.2805 0.2851 59.9859
1.000 1.841 0.2913 0.2888 0.2936 59.9932
3.162 0.166 0.3216 0.3189 0.3242 59.9928
10.000 0.011 0.4179 0.4142 0.4236 59.9855
31.623 0.001 0.7112 0.6941 0.7340 60.0191
0.010 1439.601 0.5122 0.5084 0.5166 59.9741
0.032 346.241 0.3215 0.3188 0.3239 59.9776
0.100 75.419 0.2852 0.2828 0.2873 59.9893
0.316 13.731 0.2864 0.2840 0.2887 59.9844
1.000 1.841 0.2927 0.2901 0.2949 59.9904
3.162 0.166 0.3161 0.3137 0.3189 59.9900
10.000 0.011 0.4093 0.4050 0.4145 59.9979
31.623 0.001 0.7194 0.7009 0.7427 60.0048
0.010 1439.601 0.5146 0.5109 0.5191 59.9713
0.032 346.241 0.3291 0.3262 0.3316 59.9861
0.100 75.419 0.2812 0.2792 0.2838 59.9894
0.316 13.731 0.2834 0.2811 0.2856 59.9920
1.000 1.841 0.2940 0.2914 0.2961 59.9849
3.162 0.166 0.3178 0.3150 0.3202 59.9967
10.000 0.011 0.4129 0.4078 0.4171 59.9955
31.623 0.001 0.7470 0.7265 0.7683 59.9924
0.010 1439.601 0.5082 0.5046 0.5127 59.9767
0.032 346.241 0.3228 0.3204 0.3256 59.9839
0.100 75.419 0.2775 0.2748 0.2792 59.9908
0.316 13.731 0.2866 0.2844 0.2889 59.9886
1.000 1.841 0.2934 0.2909 0.2958 59.9943
3.162 0.166 0.3175 0.3147 0.3200 59.9947
10.000 0.011 0.4190 0.4135 0.4229 59.9856
31.623 0.001 0.7124 0.6934 0.7334 59.9806
0.010 1439.601 0.5101 0.5057 0.5137 59.9662
0.032 346.241 0.3259 0.3230 0.3282 59.9809
0.100 75.419 0.2823 0.2808 0.2853 59.9841
0.316 13.731 0.2864 0.2841 0.2888 59.9875
1.000 1.841 0.2950 0.2928 0.2977 59.9927
3.162 0.166 0.3158 0.3133 0.3185 59.9910
10.000 0.011 0.4069 0.4026 0.4118 59.9850
31.623 0.001 0.7224 0.6983 0.7372 59.9615
0.010 1439.601 0.5178 0.5140 0.5223 59.9726
0.032 346.241 0.3289 0.3264 0.3316 59.9816
0.100 75.419 0.2750 0.2730 0.2774 59.9858
0.316 13.731 0.2901 0.2880 0.2927 59.9930
1.000 1.841 0.2896 0.2875 0.2922 59.9894
3.162 0.166 0.3214 0.3184 0.3238 59.9917
10.000 0.011 0.4127 0.4085 0.4178 59.9765
31.623 0.001 0.7348 0.7149 0.7580 59.9495
0.010 1439.601 0.5145 0.5105 0.5188 59.9690
0.032 346.241 0.3260 0.3238 0.3291 59.9793
0.100 75.419 0.2838 0.2817 0.2863 59.9870
0.316 13.731 0.2854 0.2832 0.2878 59.9918
1.000 1.841 0.2892 0.2872 0.2919 59.9907
3.162 0.166 0.3171 0.3144 0.3198 59.9927
10.000 0.011 0.4138 0.4089 0.4181 59.9901
31.623 0.001 0.7163 0.6967 0.7361 59.9573
0.010 1439.601 0.5132 0.5104 0.5188 59.9679
0.032 346.241 0.3235 0.3211 0.3262 59.9904
0.100 75.419 0.2799 0.2778 0.2825 59.9912
0.316 13.731 0.2832 0.2808 0.2853 59.9909
1.000 1.841 0.2924 0.2903 0.2950 59.9824
3.162 0.166 0.3131 0.3108 0.3160 59.9904
10.000 0.011 0.4144 0.4100 0.4193 60.0086
31.623 0.001 0.7241 0.7060 0.7488 59.9858
0.010 1439.601 0.5191 0.5140 0.5226 59.9675
0.032 346.241 0.3224 0.3198 0.3250 59.9822
0.100 75.419 0.2824 0.2803 0.2849 59.9875
0.316 13.731 0.2846 0.2827 0.2873 59.9905
1.000 1.841 0.2911 0.2886 0.2933 59.9904
3.162 0.166 0.3181 0.3154 0.3209 59.9943
10.000 0.011 0.4197 0.4157 0.4251 59.9866
31.623 0.001 0.7363 0.7175 0.7591 59.9254
0.010 1439.601 0.5115 0.5071 0.5153 59.9716
0.032 346.241 0.3245 0.3221 0.3274 59.9754
0.100 75.419 0.2794 0.2770 0.2815 59.9856
0.316 13.731 0.2861 0.2835 0.2880 59.9903
1.000 1.841 0.2925 0.2903 0.2950 59.9975
3.162 0.166 0.3168 0.3137 0.3192 59.9935
10.000 0.011 0.4158 0.4106 0.4201 59.9888
31.623 0.001 0.7211 0.6997 0.7397 59.9580
0.010 1439.601 0.5206 0.5168 0.5252 59.9716
0.032 346.241 0.3247 0.3218 0.3270 59.9793
0.100 75.419 0.2770 0.2750 0.2795 59.9889
0.316 13.731 0.2859 0.2835 0.2881 59.9914
1.000 1.841 0.2881 0.2858 0.2904 59.9957
3.162 0.166 0.3196 0.3172 0.3226 59.9891
10.000 0.011 0.4137 0.4083 0.4177 59.9936
31.623 0.001 0.7323 0.7118 0.7537 59.9913
0.010 1439.601 0.5138 0.5098 0.5181 59.9760
0.032 346.241 0.3264 0.3240 0.3292 59.9770
0.100 75.419 0.2839 0.2813 0.2859 59.9860
0.316 13.731 0.2894 0.2870 0.2916 59.9929
1.000 1.841 0.2897 0.2875 0.2921 59.9908
3.162 0.166 0.3140 0.3114 0.3166 59.9904
10.000 0.011 0.4091 0.4048 0.4141 59.9953
31.623 0.001 0.7078 0.6866 0.7254 60.0061
0.010 1439.601 0.5165 0.5124 0.5207 59.9652
0.032 346.241 0.3253 0.3222 0.3274 59.9826
0.100 75.419 0.2828 0.2807 0.2852 59.9924
0.316 13.731 0.2864 0.2839 0.2885 59.9949
1.000 1.841 0.2942 0.2919 0.2966 59.9903
3.162 0.166 0.3164 0.3139 0.3192 59.9976
10.000 0.011 0.4220 0.4173 0.4267 59.9913
31.623 0.001 0.7462 0.7251 0.7668 60.0144
0.010 1439.601 0.5128 0.5090 0.5173 59.9764
0.032 346.241 0.3257 0.3229 0.3281 59.9824
0.100 75.419 0.2819 0.2801 0.2847 59.9837
0.316 13.731 0.2835 0.2814 0.2859 59.9911
1.000 1.841 0.2916 0.2896 0.2943 59.9939
3.162 0.166 0.3157 0.3129 0.3182 59.9950
10.000 0.011 0.4148 0.4098 0.4190 59.9968
31.623 0.001 0.7228 0.7027 0.7441 59.9938
